City_ID,City,Max Temp,Current Description,Lat,Lng,Hotel Name
271,San Andres,84.22,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
272,Kralendijk,80.58,few clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
274,San Patricio,77.83,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
277,Alta Gracia,80.89,overcast clouds,-31.6529,-64.4283,Hotel Ritz
287,Dhidhdhoo,81.01,overcast clouds,6.8833,73.1,Dhidhoo beach
291,Sungairaya,82.45,light rain,0.7,108.9,Mess P.Milu
293,Iracoubo,78.49,few clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
294,Kulhudhuffushi,80.74,overcast clouds,6.6221,73.07,Haajy Guest House 1
300,Sur,76.42,clear sky,22.5667,59.5289,Sur Plaza Hotel
301,Santa Rosa,85.1,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
303,Alugan,81.45,overcast clouds,12.2188,125.4808,JM Lodge
306,Bathsheba,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
307,Barranco,77.99,overcast clouds,9.5167,-82.7,Casa doña Delfina Jiménez
312,Merauke,88.03,few clouds,-8.4667,140.3333,
314,Axim,76.86,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
322,Nelson Bay,88.29,broken clouds,-32.7167,152.15,Mantra Nelson Bay
326,Singaraja,83.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
327,Dwarka,79.84,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
330,Koumac,80.08,few clouds,-20.5667,164.2833,Le Monitel
340,Hambantota,78.96,overcast clouds,6.1241,81.1185,Bungalow 63
341,Jibuti,76.42,clear sky,11.5,42.5,Orchid Main Camp Goubet
343,San Pedro De Macoris,78.93,overcast clouds,18.4616,-69.2972,Apartahotel Guaraguao
344,Picota,77.49,overcast clouds,-6.9197,-76.3304,Hospedaje Vanessa
353,Champasak,76.08,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
355,San Martin,79.34,broken clouds,-33.081,-68.4681,Club El Pelícano
358,Mogadishu,79.02,clear sky,2.0371,45.3438,Hotel Juba
363,Araguacu,82.15,overcast clouds,-12.9306,-49.8264,Hotel Tocantins
365,Kloulklubed,86.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
368,Vila Velha,75.15,broken clouds,-20.3297,-40.2925,Quality Suites Vila Velha
380,Goroka,78.15,broken clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
383,Presidencia Roque Saenz Pena,82.85,overcast clouds,-26.7852,-60.4388,Hotel Aconcagua
390,Cukai,78.75,overcast clouds,4.25,103.4167,OYO 90038 Dalyla Inn Chalet
392,Paracatu,75.27,scattered clouds,-17.2222,-46.8747,Hotel Paracatu Plaza
395,Hobyo,79.14,light rain,5.3505,48.5268,Halane Hotel and Restaurent
398,Bacolod,83.71,moderate rain,10.6667,122.95,Planta Hotel & Residences
400,General Roca,75.6,light rain,-39.0333,-67.5833,Hotel y Casino del Río General Roca
402,Porto Murtinho,82.53,overcast clouds,-21.6989,-57.8825,Hotel Pantanal
409,Barra Patuca,81.43,broken clouds,15.8,-84.2833,
410,Sigli,80.42,scattered clouds,5.3848,95.9609,Losmen Dua Mali
411,Sao Jose Da Coroa Grande,76.66,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
412,Cabo San Lucas,81.7,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
415,Sola,81.12,overcast clouds,-13.8833,167.55,Leumerus Bungalows
416,Jalingo,77.11,broken clouds,8.8833,11.3667,Debright Motel
418,Qui Nhon,78.35,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
420,Sibolga,79.74,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
429,Rosario,84.94,clear sky,-32.9468,-60.6393,"Holiday Inn Rosario, an IHG Hotel"
432,Kiunga,86.49,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
433,San Juan De Uraba,79.34,overcast clouds,8.7592,-76.5297,Hotel Cerro De Zumba
435,Morant Bay,82.02,scattered clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
446,Kariapatti,79.32,mist,9.6751,78.0999,RAJA RAVEHT TRADES AND SERVICES
450,Biak,83.93,overcast clouds,-0.9131,122.8766,Penginapan Kim
451,La Reforma,83.14,clear sky,25.0833,-108.05,Hotel Reforma
452,Touros,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
453,Kidal,82.65,scattered clouds,18.4411,1.4078,
454,Manoel Urbano,75.79,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
456,Eydhafushi,80.37,overcast clouds,5.1033,73.0708,Soneva Fushi
458,Sulangan,81.95,moderate rain,11.1373,123.7228,Maia's Beach Resort
460,Pochutla,81.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
473,Daru,84.11,overcast clouds,-9.0763,143.2092,Daru Lodge
478,Robertsport,79.2,light rain,6.7533,-11.3686,Kwepunha Retreat
481,Doha,76.89,clear sky,25.2867,51.5333,Movenpick Hotel Doha
489,Coxim,75.56,broken clouds,-18.5067,-54.76,Hotel Avenida
491,Mareeba,88.32,few clouds,-17.0,145.4333,Trinity Plains Tourist Park
492,Wanning,77.79,light rain,18.8003,110.3967,Paradise Hotel
494,Pringsewu,77.99,overcast clouds,-5.3582,104.9744,Urban Style by Front One
502,Hirara,77.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
503,Tombouctou,84.83,overcast clouds,20.0,-3.0,
507,Kalmunai,77.9,overcast clouds,7.4167,81.8167,VS Villa
510,Coahuayana,83.68,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
511,Tarakan,81.9,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
514,Isangel,86.11,overcast clouds,-19.55,169.2667,Tanna Lodge
515,Port-Gentil,77.7,overcast clouds,-0.7193,8.7815,Fengshui Residence
521,Namatanai,86.56,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
535,Limay,81.34,scattered clouds,14.5333,120.55,Man's Forest Inland Resort a.k.a Manansala Resort
536,Dunmore Town,81.09,broken clouds,25.5,-76.65,Coral Sands Hotel
537,Oistins,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
543,Itoman,78.82,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
545,Amahai,86.2,broken clouds,-3.3333,128.9167,HOTEL ISABELA
546,Forbes,85.91,overcast clouds,-33.3833,148.0167,Lake Forbes Motel
551,Balaipungut,79.21,moderate rain,1.05,101.2833,
564,Padang,80.85,broken clouds,-0.9492,100.3543,Mercure Padang
570,Kokopo,86.9,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
571,Maumere,85.66,overcast clouds,-8.6199,122.2111,Sylvia Hotel
572,Alofi,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
578,Moa,79.07,clear sky,20.6569,-74.9403,Carmen
581,Cockburn Town,82.78,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
585,Lufilufi,80.38,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
586,Tupsan,81.48,broken clouds,9.1992,124.7769,Algen's Dive Resort
588,Tessalit,82.17,broken clouds,20.1986,1.0114,
