City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
85,Marsa Matruh,31.3525,27.2453,70.95,85,4,8.03,clear sky
86,Natchez,31.5604,-91.4032,70.02,97,90,10.36,overcast clouds
87,Margate,51.3813,1.3862,56.91,85,26,1.99,scattered clouds
88,Henties Bay,-22.116,14.2845,60.85,78,19,3.65,few clouds
89,Tuatapere,-46.1333,167.6833,66.9,55,0,3.62,clear sky
90,Norman Wells,65.282,-126.8329,21.24,93,90,3.44,light snow
91,Batagay,67.6333,134.6333,11.25,96,100,2.98,overcast clouds
92,Cicero Dantas,-10.6,-38.3833,69.51,87,1,6.13,clear sky
93,Solt,46.8007,18.9999,33.98,63,25,2.64,scattered clouds
94,Ambon,-3.6954,128.1814,87.94,70,40,3.44,scattered clouds
95,Verkhoyansk,67.5447,133.385,6.89,96,100,0.85,overcast clouds
96,Anadyr,64.75,177.4833,0.1,84,0,4.0,clear sky
97,Muisne,0.6,-80.0333,75.88,89,100,9.57,light rain
98,Kapaa,22.0752,-159.319,82.47,74,1,1.01,clear sky
99,Bundi,25.4417,75.6417,67.44,49,0,1.03,clear sky
100,Sakakah,29.9697,40.2064,69.37,35,3,2.68,clear sky
101,Vaini,-21.2,-175.2,80.76,78,20,13.8,few clouds
102,Suleja,9.1758,7.1808,72.59,88,72,1.41,broken clouds
103,Victoria,22.2855,114.1577,80.26,80,65,1.99,broken clouds
104,Algiers,36.7525,3.042,55.22,94,20,2.3,few clouds
105,Khatanga,71.9667,102.5,0.99,95,100,10.18,overcast clouds
106,Champerico,14.3,-91.9167,86.34,80,53,6.51,broken clouds
107,Vikulovo,56.8167,70.6107,30.15,71,99,11.27,overcast clouds
108,Raga,8.4596,25.678,71.33,84,87,3.31,overcast clouds
109,Konakovo,56.7,36.7667,41.0,93,100,9.01,light rain
110,Acapulco,16.8634,-99.8901,82.22,83,40,3.44,scattered clouds
111,Belyy Yar,53.6039,91.3903,19.29,79,0,2.24,clear sky
112,Sinop,41.7711,34.8709,42.71,93,23,1.63,few clouds
113,Leningradskiy,69.3833,178.4167,10.67,92,100,20.58,light snow
114,Kichera,55.9375,110.0997,30.74,88,96,2.82,overcast clouds
